date,time_pst,time_et,hours_to_close,current_price,day_close,vix,recommended_band,confidence,expected_hit_rate,opportunity_score,lo_price,hi_price,width_pct,in_range,midpoint_error_pct,miss_distance_pct,rationale
2025-10-01,07:00,10:00,6.0,6685.18,6711.2,8.700000000000001,P99,0.8200000000000001,0.74,0.25,6535.6319287752685,6996.873030444698,6.899456733691982,True,0.8235003337230035,0.0,Low Vol volatility (VIX=8.7) | Early day (lower confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-01,09:00,12:00,4.0,6697.84,6711.2,8.89,P98,0.87,0.8400000000000001,0.5,6603.167166067356,6765.411706557932,2.422341239721703,True,0.40177973327752725,0.0,Low Vol volatility (VIX=8.9) | Choppy action (uncertain) | Moderate risk profile
2025-10-01,11:00,14:00,2.0,6718.16,6711.2,9.49,P95,0.9500000000000001,1.0,1.0,6675.757734827823,6744.250028301836,1.0195097091169654,True,0.01780425645072936,0.0,Low Vol volatility (VIX=9.5) | Strong trend (directional bias) | Moderate risk profile
2025-10-01,12:00,15:00,1.0,6711.2,6711.2,10.06,P97,0.93,0.96,0.75,6684.901687510331,6728.866367558319,0.6550941716531735,True,0.06430999621044313,0.0,Low Vol volatility (VIX=10.1) | Near close (good confidence) | Moderate risk profile
2025-10-01,12:30,15:30,0.5,6717.2300000000005,6711.2,10.28,P95,0.9500000000000001,1.0,1.0,6689.007014033845,6739.289878801699,0.7485654766600862,True,0.043893783862874645,0.0,Low Vol volatility (VIX=10.3) | Last hour (high confidence) | Moderate risk profile
2025-10-02,07:00,10:00,6.0,6695.13,6715.35,7.76,P98,0.85,0.8,0.5,6574.93173521675,6823.00528228943,3.7052834981946807,True,0.24467771719010262,0.0,Low Vol volatility (VIX=7.8) | Early day (lower confidence) | Moderate risk profile
2025-10-02,09:00,12:00,4.0,6705.71,6715.35,9.24,P98,0.87,0.8400000000000001,0.5,6613.265106046379,6805.202538376237,2.8622984341681637,True,0.09120850422539546,0.0,Low Vol volatility (VIX=9.2) | Choppy action (uncertain) | Moderate risk profile
2025-10-02,11:00,14:00,2.0,6721.06,6715.35,10.04,P98,0.87,0.8400000000000001,0.5,6671.698560084475,6761.266961818882,1.332652910915963,True,0.016853903278314472,0.0,Low Vol volatility (VIX=10.0) | Choppy action (uncertain) | Moderate risk profile
2025-10-02,12:00,15:00,1.0,6715.35,6715.35,10.2,P98,0.9,0.9,0.5,6687.2817523626945,6736.623945157529,0.734767254049828,True,0.050587850817730186,0.0,Low Vol volatility (VIX=10.2) | Near close (good confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-02,12:30,15:30,0.5,6718.83,6715.35,10.79,P97,0.92,0.9400000000000001,0.75,6684.5033994167925,6742.297998913186,0.8601884479350437,True,0.02901250418615957,0.0,Low Vol volatility (VIX=10.8) | Last hour (high confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-03,07:00,10:00,6.0,6742.16,6715.79,7.930000000000001,P99,0.8200000000000001,0.74,0.25,6504.057948023381,6816.325405587806,4.6315640323638885,True,0.8246366623516274,0.0,Low Vol volatility (VIX=7.9) | Early day (lower confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-03,09:00,12:00,4.0,6732.74,6715.79,8.24,P98,0.87,0.8400000000000001,0.5,6637.573860478651,6800.66379806189,2.422341239721703,True,0.04944241527624763,0.0,Low Vol volatility (VIX=8.2) | Choppy action (uncertain) | Moderate risk profile
2025-10-03,11:00,14:00,2.0,6722.150000000001,6715.79,12.9,P99,0.87,0.8700000000000001,0.25,6671.611046365127,6781.763835277043,1.6386541346431873,True,0.16211243160423783,0.0,Normal volatility (VIX=12.9) | Choppy action (uncertain) | Moderate risk profile
2025-10-03,12:00,15:00,1.0,6715.79,6715.79,11.05,P98,0.9,0.9,0.5,6687.7199132881915,6737.065339058944,0.734767254049828,True,0.05058785081773192,0.0,Low Vol volatility (VIX=11.1) | Near close (good confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-03,12:30,15:30,0.5,6722.83,6715.79,10.49,P97,0.92,0.9400000000000001,0.75,6688.482963358381,6746.311970392693,0.8601884479350437,True,0.023910568548323907,0.0,Low Vol volatility (VIX=10.5) | Last hour (high confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-06,07:00,10:00,6.0,6733.91,6740.28,7.33,P99,0.8200000000000001,0.74,0.25,6496.099300042438,6807.984653574193,4.6315640323638885,True,1.310353467624071,0.0,Low Vol volatility (VIX=7.3) | Early day (lower confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-06,09:00,12:00,4.0,6741.110000000001,6740.28,7.77,P98,0.87,0.8400000000000001,0.5,6645.825551946346,6809.11823949135,2.422341239721703,True,0.1899999299989307,0.0,Low Vol volatility (VIX=7.8) | Choppy action (uncertain) | Moderate risk profile
2025-10-06,11:00,14:00,2.0,6744.150000000001,6740.28,8.53,P98,0.87,0.8400000000000001,0.5,6694.618980338474,6784.495091630013,1.332652910915963,True,0.010719868563950664,0.0,Low Vol volatility (VIX=8.5) | Choppy action (uncertain) | Moderate risk profile
2025-10-06,12:00,15:00,1.0,6740.28,6740.28,8.81,P98,0.9,0.9,0.5,6712.107552073268,6761.632922344537,0.734767254049828,True,0.05058785081772433,0.0,Low Vol volatility (VIX=8.8) | Near close (good confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-06,12:30,15:30,0.5,6741.93,6740.28,8.91,P97,0.92,0.9400000000000001,0.75,6707.485381179469,6765.478684207337,0.8601884479350437,True,0.056333532187319464,0.0,Low Vol volatility (VIX=8.9) | Last hour (high confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-07,07:00,10:00,6.0,6726.96,6714.59,6.58,P99,0.8200000000000001,0.74,0.25,6576.4773064590745,7040.601001151841,6.899456733691982,True,1.396606398811011,0.0,Low Vol volatility (VIX=6.6) | Early day (lower confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-07,09:00,12:00,4.0,6713.71,6714.59,10.76,P98,0.87,0.8400000000000001,0.5,6621.154818075138,6813.321234279729,2.8622984341681637,True,0.03944206969668286,0.0,Low Vol volatility (VIX=10.8) | Choppy action (uncertain) | Moderate risk profile
2025-10-07,11:00,14:00,2.0,6712.400000000001,6714.59,11.11,P98,0.87,0.8400000000000001,0.5,6623.747762975377,6771.566939858089,2.2021806936820227,True,0.2522592304282687,0.0,Low Vol volatility (VIX=11.1) | Choppy action (uncertain) | Moderate risk profile
2025-10-07,12:00,15:00,1.0,6714.59,6714.59,10.86,P98,0.9,0.9,0.5,6655.495460052181,6745.649123384503,1.342653286832423,True,0.20876491761459876,0.0,Low Vol volatility (VIX=10.9) | Near close (good confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-07,12:30,15:30,0.5,6711.400000000001,6714.59,11.12,P97,0.92,0.9400000000000001,0.75,6662.498585687309,6756.423082155177,1.399476956638968,True,0.07642468156803957,0.0,Low Vol volatility (VIX=11.1) | Last hour (high confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-08,07:00,10:00,6.0,6743.32,6753.72,7.46,P99,0.8200000000000001,0.74,0.25,6505.176982163731,6817.498165870932,4.6315640323638885,True,1.369984310142019,0.0,Low Vol volatility (VIX=7.5) | Early day (lower confidence) | Choppy action (uncertain) | Moderate risk profile
2025-10-08,09:00,12:00,4.0,6751.62,6753.72,7.85,P97,0.9,0.9,0.75,6679.844869674498,6807.333364907861,1.88826526423827,True,0.1500511389684333,0.0,Low Vol volatility (VIX=7.8) | Moderate risk profile
2025-10-08,11:00,14:00,2.0,6749.1,6753.72,9.24,P97,0.9,0.9,0.75,6702.489946623329,6782.3998066139675,1.184007645325122,True,0.1670611397275411,0.0,Low Vol volatility (VIX=9.2) | Moderate risk profile
