dte,band,band_description,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,flow_description,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,roi_pct,avg_pnl,total_pnl,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful
0,P98,98th pct | strikes at 1.0th/99.0th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),put_spread,against_flow,Fade momentum (trade opposite to market move),300,12,91.7,5061.17,27022.17,18.73,477.83,5734.0,435.0,-4080.0,2440.0,1630.99,0.293,0.0,True,True,True,True,True,True
0,P95,95th pct | strikes at 2.5th/97.5th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),iron_condor,with_flow,Follow momentum (trade direction of market move),300,13,92.3,3069.31,29121.69,10.54,2266.23,29461.0,2100.0,-6955.0,7952.0,3501.63,0.647,0.0,True,True,True,True,True,True
0,P95,95th pct | strikes at 2.5th/97.5th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),iron_condor,against_flow,Fade momentum (trade opposite to market move),300,13,92.3,3069.31,29121.69,10.54,2266.23,29461.0,2100.0,-6955.0,7952.0,3501.63,0.647,0.0,True,True,True,True,True,True
0,P98,98th pct | strikes at 1.0th/99.0th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),iron_condor,with_flow,Follow momentum (trade direction of market move),100,54,94.4,1374.35,13345.06,10.3,79.17,4275.0,222.0,-10148.0,2750.0,1686.28,0.047,0.0,True,True,True,True,True,True
0,P98,98th pct | strikes at 1.0th/99.0th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),iron_condor,against_flow,Fade momentum (trade opposite to market move),100,54,94.4,1374.35,13345.06,10.3,79.17,4275.0,222.0,-10148.0,2750.0,1686.28,0.047,0.0,True,True,True,True,True,True
0,P98,98th pct | strikes at 1.0th/99.0th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),iron_condor,against_flow,Fade momentum (trade opposite to market move),150,48,93.8,1736.27,18444.6,9.41,175.02,8401.0,326.5,-14740.0,2895.0,2453.07,0.071,0.0,True,True,True,True,True,True
0,P98,98th pct | strikes at 1.0th/99.0th of 100d moves,07:00,10:00,B,B (07:00-08:45 PST / 10:00-11:45 ET),iron_condor,with_flow,Follow momentum (trade direction of market move),150,48,93.8,1736.27,18444.6,9.41,175.02,8401.0,326.5,-14740.0,2895.0,2453.07,0.071,0.0,True,True,True,True,True,True
0,P97,97th pct | strikes at 1.5th/98.5th of 100d moves,06:50,09:50,A,A (06:30-06:50 PST / 09:30-09:50 ET),iron_condor,with_flow,Follow momentum (trade direction of market move),300,15,93.3,2652.4,29118.0,9.11,1865.73,27986.0,3010.0,-10865.0,6331.0,3957.78,0.471,0.0,True,True,True,True,True,True
0,P97,97th pct | strikes at 1.5th/98.5th of 100d moves,06:50,09:50,A,A (06:30-06:50 PST / 09:30-09:50 ET),iron_condor,against_flow,Fade momentum (trade opposite to market move),300,15,93.3,2652.4,29118.0,9.11,1865.73,27986.0,3010.0,-10865.0,6331.0,3957.78,0.471,0.0,True,True,True,True,True,True
0,P100,100th pct | strikes at 0th/100th of 100d moves (widest),06:50,09:50,A,A (06:30-06:50 PST / 09:30-09:50 ET),iron_condor,against_flow,Fade momentum (trade opposite to market move),300,17,88.2,2304.88,25817.88,8.93,284.29,4833.0,185.0,-3975.0,2677.0,1549.17,0.184,0.0,True,True,True,True,True,True
0,P100,100th pct | strikes at 0th/100th of 100d moves (widest),06:50,09:50,A,A (06:30-06:50 PST / 09:30-09:50 ET),iron_condor,with_flow,Follow momentum (trade direction of market move),300,17,88.2,2304.88,25817.88,8.93,284.29,4833.0,185.0,-3975.0,2677.0,1549.17,0.184,0.0,True,True,True,True,True,True
