timestamp,ticker,type,strike,expiration,bid,ask,day_close,vwap,fmv,delta,gamma,theta,vega,implied_volatility,volume
2025-11-26T14:30:00+00:00,O:NDXP251126P22900000,put,22900,2025-11-26,0.1,0.1,0.1,0.1,,,,,,,2
2025-11-26T14:30:00+00:00,O:NDXP251126P23100000,put,23100,2025-11-26,0.23,0.23,0.23,0.23,,,,,,,2
2025-11-26T14:30:00+00:00,O:NDXP251126P23200000,put,23200,2025-11-26,0.18,0.18,0.18,0.18,,,,,,,4
2025-11-26T14:30:00+00:00,O:NDXP251126P24000000,put,24000,2025-11-26,0.3,0.3,0.3,0.3,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24100000,put,24100,2025-11-26,0.3,0.43,0.39,0.3767,,,,,,,15
2025-11-26T14:30:00+00:00,O:NDXP251126P24130000,put,24130,2025-11-26,0.45,0.45,0.45,0.45,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24140000,put,24140,2025-11-26,0.55,0.55,0.55,0.55,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24200000,put,24200,2025-11-26,0.5,0.62,0.61,0.5636,,,,,,,14
2025-11-26T14:30:00+00:00,O:NDXP251126P24230000,put,24230,2025-11-26,0.7,0.9,0.7,0.85,,,,,,,7
2025-11-26T14:30:00+00:00,O:NDXP251126P24270000,put,24270,2025-11-26,1.4,1.4,1.4,1.4,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24300000,put,24300,2025-11-26,0.8,1.0,1.0,0.886,,,,,,,5
2025-11-26T14:30:00+00:00,O:NDXP251126P24310000,put,24310,2025-11-26,1.15,1.15,1.15,1.15,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24320000,put,24320,2025-11-26,1.12,1.12,1.12,1.12,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24340000,put,24340,2025-11-26,1.0,1.1,1.1,1.05,,,,,,,2
2025-11-26T14:30:00+00:00,O:NDXP251126C24350000,call,24350,2025-11-26,826.93,826.93,826.93,826.93,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24350000,put,24350,2025-11-26,1.11,1.11,1.11,1.11,,,,,,,7
2025-11-26T14:30:00+00:00,O:NDXP251126P24360000,put,24360,2025-11-26,1.14,1.16,1.16,1.144,,,,,,,5
2025-11-26T14:30:00+00:00,O:NDXP251126P24380000,put,24380,2025-11-26,1.16,1.21,1.16,1.1886,,,,,,,7
2025-11-26T14:30:00+00:00,O:NDXP251126C24390000,call,24390,2025-11-26,783.73,783.73,783.73,783.73,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126C24400000,call,24400,2025-11-26,782.93,782.93,782.93,782.93,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24400000,put,24400,2025-11-26,1.24,1.65,1.65,1.358,,,,,,,5
2025-11-26T14:30:00+00:00,O:NDXP251126P24450000,put,24450,2025-11-26,1.5,1.82,1.82,1.6067,,,,,,,3
2025-11-26T14:30:00+00:00,O:NDXP251126P24460000,put,24460,2025-11-26,1.87,1.87,1.87,1.87,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24470000,put,24470,2025-11-26,1.98,1.98,1.98,1.98,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24490000,put,24490,2025-11-26,2.27,2.27,2.27,2.27,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24500000,put,24500,2025-11-26,2.05,2.42,2.3,2.23,,,,,,,8
2025-11-26T14:30:00+00:00,O:NDXP251126P24510000,put,24510,2025-11-26,2.58,2.58,2.58,2.58,,,,,,,22
2025-11-26T14:30:00+00:00,O:NDXP251126P24520000,put,24520,2025-11-26,2.67,2.67,2.67,2.67,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24550000,put,24550,2025-11-26,2.98,3.2,2.99,2.9896,,,,,,,24
2025-11-26T14:30:00+00:00,O:NDXP251126P24560000,put,24560,2025-11-26,3.17,3.17,3.17,3.17,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24570000,put,24570,2025-11-26,3.4,3.4,3.4,3.4,,,,,,,3
2025-11-26T14:30:00+00:00,O:NDXP251126P24580000,put,24580,2025-11-26,3.0,3.5,3.0,3.25,,,,,,,2
2025-11-26T14:30:00+00:00,O:NDXP251126P24600000,put,24600,2025-11-26,3.4,4.4,4.3,4.017,,,,,,,122
2025-11-26T14:30:00+00:00,O:NDXP251126P24610000,put,24610,2025-11-26,3.47,3.58,3.58,3.5433,,,,,,,3
2025-11-26T14:30:00+00:00,O:NDXP251126P24620000,put,24620,2025-11-26,3.77,4.4,4.35,4.124,,,,,,,10
2025-11-26T14:30:00+00:00,O:NDXP251126P24630000,put,24630,2025-11-26,4.0,4.9,4.9,4.45,,,,,,,2
2025-11-26T14:30:00+00:00,O:NDXP251126C24640000,call,24640,2025-11-26,522.05,522.05,522.05,522.05,,,,,,,1
2025-11-26T14:30:00+00:00,O:NDXP251126P24650000,put,24650,2025-11-26,4.6,5.1,5.0,4.8675,,,,,,,4
2025-11-26T14:30:00+00:00,O:NDXP251126C24670000,call,24670,2025-11-26,507.8,538.6,507.8,523.2,,,,,,,4
